Fecha,CodigoFecha,SBS
15Ene98,271,2.743
16Ene98,272,2.741
19Ene98,273,2.737
20Ene98,274,2.741
21Ene98,275,2.748
22Ene98,276,2.753
23Ene98,277,2.752
26Ene98,278,2.763
27Ene98,279,2.765
28Ene98,280,2.763
29Ene98,281,2.768
30Ene98,282,2.773
02Feb98,283,2.787
03Feb98,284,2.786
04Feb98,285,2.786
05Feb98,286,2.798
06Feb98,287,2.806
09Feb98,288,2.806
10Feb98,289,2.81
11Feb98,290,2.799
12Feb98,291,2.784
13Feb98,292,2.787
16Feb98,293,2.794
17Feb98,294,2.79
18Feb98,295,2.796
19Feb98,296,2.805
20Feb98,297,2.807
23Feb98,298,2.817
24Feb98,299,2.823
25Feb98,300,2.816
26Feb98,301,2.817
27Feb98,302,2.815
02Mar98,303,2.819
03Mar98,304,2.818
04Mar98,305,2.817
05Mar98,306,2.812
06Mar98,307,2.809
09Mar98,308,2.802
10Mar98,309,2.794
11Mar98,310,2.797
12Mar98,311,2.803
13Mar98,312,2.806
16Mar98,313,2.804
17Mar98,314,2.799
18Mar98,315,2.797
19Mar98,316,2.795
20Mar98,317,2.803
23Mar98,318,2.812
24Mar98,319,2.818
25Mar98,320,2.821
26Mar98,321,2.817
27Mar98,322,2.817
30Mar98,323,2.819
31Mar98,324,2.81
01Abr98,325,2.808
02Abr98,326,2.814
03Abr98,327,2.816
06Abr98,328,2.817
07Abr98,329,2.815
08Abr98,330,2.815
09Abr98,331,2.6
10Abr98,332,2.6
13Abr98,333,2.818
14Abr98,334,2.822
15Abr98,335,2.821
16Abr98,336,2.826
17Abr98,337,2.823
20Abr98,338,2.82
21Abr98,339,2.824
22Abr98,340,2.828
23Abr98,341,2.832
24Abr98,342,2.83
27Abr98,343,2.831
28Abr98,344,2.823
29Abr98,345,2.829
30Abr98,346,2.828
01May98,347,2.6
04May98,348,2.836
05May98,349,2.837
06May98,350,2.84
07May98,351,2.842
08May98,352,2.842
11May98,353,2.844
12May98,354,2.844
13May98,355,2.843
14May98,356,2.842
15May98,357,2.843
18May98,358,2.845
19May98,359,2.846
20May98,360,2.844
21May98,361,2.844
22May98,362,2.844
25May98,363,2.846
26May98,364,2.849
27May98,365,2.856
28May98,366,2.862
29May98,367,2.863
01Jun98,368,2.872
02Jun98,369,2.87
03Jun98,370,2.869
04Jun98,371,2.879
05Jun98,372,2.891
08Jun98,373,2.897
09Jun98,374,2.892
10Jun98,375,2.896
11Jun98,376,2.898
12Jun98,377,2.908
15Jun98,378,2.924
16Jun98,379,2.924
17Jun98,380,2.915
18Jun98,381,2.911
19Jun98,382,2.917
22Jun98,383,2.934
23Jun98,384,2.935
24Jun98,385,2.954
25Jun98,386,2.938
26Jun98,387,2.93
29Jun98,388,2.6
30Jun98,389,2.931
01Jul98,390,2.933
02Jul98,391,2.935
03Jul98,392,2.926
06Jul98,393,2.932
07Jul98,394,2.931
08Jul98,395,2.929
09Jul98,396,2.927
10Jul98,397,2.924
13Jul98,398,2.922
14Jul98,399,2.917
15Jul98,400,2.911
16Jul98,401,2.915
17Jul98,402,2.908
20Jul98,403,2.909
21Jul98,404,2.912
22Jul98,405,2.91
23Jul98,406,2.922
24Jul98,407,2.92
27Jul98,408,2.925
28Jul98,409,2.6
29Jul98,410,2.6
30Jul98,411,2.93
31Jul98,412,2.932
03Ago98,413,2.936
04Ago98,414,2.939
05Ago98,415,2.943
06Ago98,416,2.952
07Ago98,417,2.954
10Ago98,418,2.954
11Ago98,419,2.958
12Ago98,420,2.962
13Ago98,421,2.958
14Ago98,422,2.951
17Ago98,423,2.952
18Ago98,424,2.951
19Ago98,425,2.947
20Ago98,426,2.953
21Ago98,427,2.969
24Ago98,428,2.971
25Ago98,429,2.966
26Ago98,430,2.979
27Ago98,431,3.006
28Ago98,432,3.018
31Ago98,433,3.023
01Set98,434,3.051
02Set98,435,3.039
03Set98,436,3.057
04Set98,437,3.054
07Set98,438,3.052
08Set98,439,3.057
09Set98,440,3.055
10Set98,441,3.069
11Set98,442,3.067
14Set98,443,3.054
15Set98,444,3.033
16Set98,445,3.03
17Set98,446,3.046
18Set98,447,3.021
21Set98,448,3.033
22Set98,449,3.027
23Set98,450,3.03
24Set98,451,3.037
25Set98,452,3.041
28Set98,453,3.048
29Set98,454,3.05
30Set98,455,3.04
01Oct98,456,3.062
02Oct98,457,3.045
05Oct98,458,3.043
06Oct98,459,3.039
07Oct98,460,3.043
08Oct98,461,2.6
09Oct98,462,3.055
12Oct98,463,3.061
13Oct98,464,3.057
14Oct98,465,3.054
15Oct98,466,3.044
16Oct98,467,3.048
19Oct98,468,3.044
20Oct98,469,3.041
21Oct98,470,3.047
22Oct98,471,3.049
23Oct98,472,3.051
26Oct98,473,2.6
27Oct98,474,3.059
28Oct98,475,3.065
29Oct98,476,3.077
30Oct98,477,3.072
02Nov98,478,3.08
03Nov98,479,3.09
04Nov98,480,3.081
05Nov98,481,3.084
06Nov98,482,3.082
09Nov98,483,3.088
10Nov98,484,3.095
11Nov98,485,3.093
12Nov98,486,3.095
13Nov98,487,3.096
16Nov98,488,3.096
17Nov98,489,3.092
18Nov98,490,3.09
19Nov98,491,3.094
20Nov98,492,3.094
23Nov98,493,3.095
24Nov98,494,3.107
25Nov98,495,3.114
26Nov98,496,3.118
27Nov98,497,3.123
30Nov98,498,3.114
01Dic98,499,3.126
02Dic98,500,3.13
03Dic98,501,3.149
04Dic98,502,3.147
07Dic98,503,3.138
08Dic98,504,2.6
09Dic98,505,3.134
10Dic98,506,3.145
11Dic98,507,3.146
14Dic98,508,3.14
15Dic98,509,3.134
16Dic98,510,3.133
17Dic98,511,3.134
18Dic98,512,3.13
21Dic98,513,3.13
22Dic98,514,3.137
23Dic98,515,3.131
24Dic98,516,3.131
25Dic98,517,2.6
28Dic98,518,3.14
29Dic98,519,3.149
30Dic98,520,3.157
31Dic98,521,3.159
01Ene99,522,2.6
04Ene99,523,3.162
05Ene99,524,3.171
06Ene99,525,3.182
